,CNY,JPY,INR,EUR,GBP,time,USD
101,1092.717351764278,1096.6354622599374,1099.9650011169856,1067.8718071775183,1065.154072129508,1486621560,1068.71
102,1092.4001455074574,1096.2109870477893,1071.7518802591408,1067.8611422172453,1071.6294768423027,1486621620,1068.2
103,1092.5572935612952,1096.6006252791424,1071.7518802591408,1066.8906308324001,1069.9293705856614,1486621680,1067.13
104,1093.050563841397,1097.0469852612773,1071.7518802591408,1066.794646189943,1069.9293705856614,1486621740,1067.27
105,1093.2950163695891,1097.5076373380973,1071.0664978777272,1066.5493521036633,1069.9293705856614,1486621800,1067.01
106,1093.4769006911606,1097.9359535506921,1085.2656191823667,1066.304058017384,1069.9293705856614,1486621860,1067.0
107,1092.6373226627866,1098.113086199196,1085.2656191823667,1065.8667946461899,1069.9293705856614,1486621920,1067.05
108,1093.203346671517,1097.9841893702546,1085.2656191823667,1066.346717858476,1069.9293705856614,1486621980,1066.73
109,1093.511822480902,1098.0956677087986,1100.3839451932386,1065.5681757585453,1069.9293705856614,1486622040,1067.0
110,1092.5791196798837,1098.0486824475213,1085.0697743689032,1065.5681757585453,1069.9293705856614,1486622100,1067.41
111,1092.523826846126,1098.2320678874498,1085.0697743689032,1065.6428304804565,1069.9293705856614,1486622160,1067.57
112,1092.496180429247,1098.2052702099152,1085.0697743689032,1065.2695568709007,1070.4794049628101,1486622220,1067.28
113,1092.5078210258278,1097.965520321572,1085.0697743689032,1065.2802218311738,1070.4794049628101,1486622280,1067.35
114,1092.8279374317935,1098.1452434122375,1068.6643830516048,1065.2908867914468,1073.217076067254,1486622340,1067.34
115,1092.890505638414,1098.2753014738723,1068.6643830516048,1065.9734442489203,1073.6296018501157,1486622400,1067.2
116,1091.8661331393234,1097.8542206342117,1068.7811452825974,1065.9734442489203,1073.6296018501157,1486622460,1067.25
117,1093.511822480902,1098.30075926753,1068.7811452825974,1065.888124566736,1073.4920932558284,1486622520,1067.34
118,1093.3532193524918,1098.292184010719,1068.7811452825974,1065.8241348050979,1074.2296393524596,1486622580,1067.3
119,1093.0170971262278,1098.6518088432335,1067.5852260034253,1065.5468458379994,1074.2296393524596,1486622640,1067.76
120,1092.119316114951,1098.5530147387226,1085.6138208355053,1065.482856076361,1074.2296393524596,1486622700,1067.58
121,1092.1280465623863,1098.4284948637785,1067.5838856206717,1065.9094544872821,1073.9421213825863,1486622760,1068.17
122,1092.1484176064023,1098.631889236266,1103.4890163079904,1066.5600170639364,1073.9421213825863,1486622820,1067.7
123,1092.2415423790471,1098.853684680661,1085.6321393998064,1066.1654135338347,1073.9421213825863,1486622880,1067.63
124,1093.2702801018552,1099.0213488164359,1071.0958373668925,1066.1654135338347,1073.2670791924495,1486622940,1067.84
125,1094.8199345216442,1099.6322465386334,1071.0958373668925,1066.5706820242096,1073.2670791924495,1486623000,1067.41
126,1094.3965078210258,1099.7370254577936,1085.1104326457669,1066.5813469844825,1073.2670791924495,1486623060,1067.27
127,1092.900691160422,1099.5209468512728,1099.4039764688362,1066.4107076201142,1071.4044627789237,1486623120,1067.87
128,1092.272098945071,1098.311478338544,1099.4039764688362,1065.7814749640058,1071.4044627789237,1486623180,1067.8
129,1087.5387413604947,1095.012684234033,1099.4039764688362,1065.1735722284434,1070.9794362147634,1486623240,1062.47
130,1090.2524554383413,1093.2236712818221,1085.2840866780848,1062.9979203327468,1070.9794362147634,1486623300,1061.49
131,1090.5230993088396,1094.3006699419384,1099.9977660287439,1059.8090972111129,1070.9794362147634,1486623360,1061.87
132,1090.7821025827575,1095.1665922286734,1099.9977660287439,1059.7237775289286,1070.9794362147634,1486623420,1060.76
133,1091.8457620953075,1094.973738276016,1095.906024275821,1059.7344424892017,1067.3667104194012,1486623480,1060.56
134,1087.8486722444525,1095.2066100937918,1095.911385806836,1061.5901455767078,1067.3667104194012,1486623540,1061.18
135,1089.2731902510004,1095.1542652970077,1095.911385806836,1061.5048258945237,1067.3667104194012,1486623600,1061.14
136,1091.1211349581665,1095.5586422510048,1095.911385806836,1061.4408361328854,1067.3667104194012,1486623660,1061.65
137,1091.1618770461987,1096.267619472979,1095.911385806836,1060.779608595958,1067.0541908869304,1486623720,1061.92
138,1089.0694798108404,1096.450022331398,1095.911385806836,1061.4408361328854,1067.0541908869304,1486623780,1062.15
139,1089.4405238268462,1096.6707458686913,1096.0335095688436,1060.8329333973231,1064.4290268141758,1486623840,1062.52
140,1089.7169879956348,1096.656096471639,1095.3217663266066,1061.8461046232603,1069.8043627726731,1486623900,1062.81
141,1090.093852309931,1096.1833854399285,1095.3274257204557,1061.7927798218952,1069.8043627726731,1486623960,1062.53
142,1089.508912331757,1095.661456007146,1095.3274257204557,1061.750119980803,1069.8043627726731,1486624020,1062.78
143,1091.303019279738,1095.4301920500222,1081.7853898279843,1061.8780995040793,1069.8043627726731,1486624080,1062.06
144,1090.9217897417243,1095.5707012058954,1081.7853898279843,1061.9207593451715,1069.8043627726731,1486624140,1062.9
145,1091.2884685340125,1095.8931665922287,1081.7907513589992,1062.4753372793687,1069.8043627726731,1486624200,1063.19
146,1090.7850127319025,1096.2423403305047,1081.8430262863953,1062.4753372793687,1069.8043627726731,1486624260,1063.2
147,1091.2244452528191,1096.4731576596694,1081.8430262863953,1063.947101797046,1069.8043627726731,1486624320,1063.26
148,1091.2113495816661,1096.4255471192496,1096.1939087050414,1062.4966671999148,1069.8043627726731,1486624380,1062.71
149,1091.7439068752274,1096.4734256364447,1096.2029935214834,1063.8191222737696,1069.8043627726731,1486624440,1063.09
150,1091.3044743543107,1096.7060294774453,1096.2029935214834,1063.7977923532235,1069.8043627726731,1486624500,1063.09
